City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
11,Nantucket,US,80.71,light rain,41.2835,-70.0995,Jared Coffin House
12,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
15,Isangel,VU,74.98,broken clouds,-19.55,169.2667,Tanna Lodge
18,Hambantota,LK,78.15,heavy intensity rain,6.1241,81.1185,Bungalow 63
21,Atuona,PF,76.75,scattered clouds,-9.8,-139.0333,Villa Enata
23,Salalah,OM,76.44,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
25,Kavieng,PG,81.3,light rain,-2.5744,150.7967,Nusa Island Retreat
26,Bandarbeyla,SO,76.14,scattered clouds,9.4942,50.8122,JABIR HOTEL
27,Bellingham,US,87.75,scattered clouds,48.7595,-122.4882,Best Western Heritage Inn
29,Roma,US,77.72,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
30,Ponta Do Sol,PT,84.83,broken clouds,32.6667,-17.1,Hotel do Campo
31,Norman Wells,CA,75.24,few clouds,65.282,-126.8329,Heritage Hotel
33,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
35,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
36,Rikitea,PF,75.4,broken clouds,-23.1203,-134.9692,People ThankYou
44,Hithadhoo,MV,82.0,clear sky,-0.6,73.0833,Scoop Guest House
46,Bar Harbor,US,75.94,overcast clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
56,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
57,Ushtobe,KZ,71.69,scattered clouds,45.2514,77.9838,"Gostinitsa ""Diyar"""
58,Kapaa,US,82.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Kerema,PG,77.25,broken clouds,-7.9631,145.7785,Frena Lodge
65,Aklavik,CA,71.71,few clouds,68.2191,-135.0107,Aklavik Inn
66,Sao Filipe,CV,78.69,light rain,14.8961,-24.4956,Hotel Xaguate
67,Santa Isabel Do Rio Negro,BR,85.89,few clouds,-0.4139,-65.0192,Hotel GSA
69,Abeche,TD,87.91,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
70,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
