City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Marawi,PH,7.9986,124.2928,68.76,92,83,4.32,broken clouds
1,Klaksvik,FO,62.2266,-6.589,49.12,84,36,14.32,scattered clouds
2,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,86,49,3.76,scattered clouds
3,Broken Hill,AU,-31.95,141.4333,42.44,82,0,12.08,clear sky
4,Ushuaia,AR,-54.8,-68.3,35.22,86,40,26.46,light snow
5,Vitim,RU,59.4511,112.5578,66.69,84,9,3.09,clear sky
6,San Vicente,AR,-26.6167,-54.1333,68.49,67,0,1.45,clear sky
7,Bluff,NZ,-46.6,168.3333,44.8,89,100,27.69,light rain
8,Provideniya,RU,64.3833,-173.3,48.31,71,100,13.42,overcast clouds
9,Hermanus,ZA,-34.4187,19.2345,52.81,62,0,8.39,clear sky
10,San Carlos De Bariloche,AR,-41.1456,-71.3082,36.81,99,100,3.36,light rain
11,Nantucket,US,41.2835,-70.0995,80.71,92,100,34.87,light rain
12,Ribeira Grande,PT,38.5167,-28.7,77.4,83,20,9.22,few clouds
13,Geraldton,AU,-28.7667,114.6,41.41,93,7,12.66,clear sky
14,Busselton,AU,-33.65,115.3333,62.01,78,83,23.4,broken clouds
15,Isangel,VU,-19.55,169.2667,74.98,90,57,11.61,broken clouds
16,Albany,US,42.6001,-73.9662,82.78,56,40,1.99,scattered clouds
17,Tiksi,RU,71.6872,128.8694,48.4,87,49,4.65,scattered clouds
18,Hambantota,LK,6.1241,81.1185,78.15,87,100,11.23,heavy intensity rain
19,Novokizhinginsk,RU,51.6115,109.5917,51.49,93,68,3.76,broken clouds
20,Naustdal,NO,61.509,5.7168,59.59,87,75,6.91,fog
21,Atuona,PF,-9.8,-139.0333,76.75,71,34,10.69,scattered clouds
22,Vao,NC,-22.6667,167.4833,69.44,74,59,15.46,broken clouds
23,Salalah,OM,17.0151,54.0924,76.44,97,100,6.64,overcast clouds
24,Punta Arenas,CL,-53.15,-70.9167,37.51,56,0,12.66,clear sky
25,Kavieng,PG,-2.5744,150.7967,81.3,81,20,16.67,light rain
26,Bandarbeyla,SO,9.4942,50.8122,76.14,82,45,31.7,scattered clouds
27,Bellingham,US,48.7595,-122.4882,87.75,67,25,5.01,scattered clouds
28,Narsaq,GL,60.9167,-46.05,46.63,86,100,1.07,light rain
29,Roma,US,43.2128,-75.4557,77.72,61,13,18.01,few clouds
30,Ponta Do Sol,PT,32.6667,-17.1,84.83,62,63,4.83,broken clouds
31,Norman Wells,CA,65.282,-126.8329,75.24,35,20,11.5,few clouds
32,Barrow,US,71.2906,-156.7887,37.42,93,100,28.77,mist
33,Georgetown,MY,5.4112,100.3354,78.89,97,20,3.44,few clouds
34,Cape Town,ZA,-33.9258,18.4232,60.39,67,0,4.0,clear sky
35,Oistins,BB,13.0667,-59.5333,80.69,89,40,20.71,scattered clouds
36,Rikitea,PF,-23.1203,-134.9692,75.4,70,71,17.0,broken clouds
